source,target,action,count
registration,save survey,survey,2596
save survey,Step 2: Wikipedia,view,305
Step 2: Wikipedia,left Wikipedia,left,14
registration,abandon survey,survey,550
abandon survey,Step 2: Wikipedia,view,29
Step 2: Wikipedia,Step 3: Wikipedia,view,189
Step 3: Wikipedia,left Wikipedia,left,9
Step 3: Wikipedia,Step 4: Wikipedia,view,150
Step 4: Wikipedia,Step 5: Wikipedia,view,150
save survey,Step 2: Special,view,340
Step 2: Special,Step 3: Main page,view,82
Step 3: Main page,left Wikipedia,left,10
save survey,Step 2: Article,edit,409
Step 2: Article,Step 3: Article,view,505
Step 3: Article,Step 4: Article,view,592
Step 4: Article,Step 5: Article,view,560
Step 3: Wikipedia,Step 4: Special,view,32
Step 4: Special,Step 5: Article,view,182
abandon survey,Step 2: User,view,49
Step 2: User,Step 3: User,edit,48
Step 3: User,Step 4: Special,view,67
Step 4: Special,Step 5: User,view,44
registration,skip survey,survey,467
skip survey,Step 2: Article,view,178
Step 3: Article,Step 4: Special,view,206
save survey,Step 2: Article,view,825
Step 2: Article,Step 3: Article,edit,367
Step 4: Special,Step 5: Special,view,455
Step 3: Wikipedia,Step 4: Main page,view,6
Step 4: Main page,Step 5: User,edit,4
Step 3: Article,Step 4: Article,edit,165
Step 4: Article,Step 5: User,view,14
save survey,Step 2: Main page,view,496
Step 2: Main page,Step 3: User,view,51
Step 3: User,Step 4: User,edit,96
Step 4: User,Step 5: User talk,edit,6
Step 2: Main page,Step 3: Special,view,306
Step 3: Special,Step 4: Article,view,222
Step 4: Article,left Wikipedia,left,131
abandon survey,Step 2: Special,view,312
Step 2: Special,Step 3: Special,view,267
Step 3: Special,Step 4: Article,edit,57
Step 4: Article,Step 5: Main page,view,35
save survey,Step 2: User,view,45
Step 2: User,Step 3: Special,view,34
Step 3: Special,left Wikipedia,left,34
skip survey,Step 2: Main page,view,131
Step 3: Special,Step 4: Special,view,475
Step 4: Special,Step 5: Article,edit,70
Step 2: Wikipedia,Step 3: Wikipedia,edit,9
Step 3: Wikipedia,Step 4: Wikipedia,edit,11
Step 2: Main page,Step 3: Article,view,79
Step 3: Article,left Wikipedia,left,117
Step 2: Article,Step 3: User talk,view,17
Step 3: User talk,Step 4: User,view,3
Step 4: User,Step 5: Special,view,68
Step 3: User,left Wikipedia,left,24
Step 2: Wikipedia,Step 3: Help,view,9
Step 3: Help,Step 4: Special,view,45
Step 2: Special,Step 3: User,view,56
Step 4: User,Step 5: User,view,63
Step 2: Article,Step 3: User,view,32
Step 2: Main page,left Wikipedia,left,25
Step 2: Article,Step 3: Special,view,279
Step 3: Special,Step 4: User,view,58
Step 4: User,left Wikipedia,left,19
Step 3: Wikipedia,Step 4: Article,view,27
Step 4: Article,Step 5: Special,view,224
Step 4: Article,Step 5: Wikipedia,view,26
abandon survey,Step 2: Main page,view,39
skip survey,Step 2: Article,edit,83
Step 2: Article,Step 3: Main page,view,62
Step 3: Main page,Step 4: Other,view,6
Step 4: Other,Step 5: Main page,view,3
Step 3: Special,Step 4: Main page,view,73
Step 4: Main page,left Wikipedia,left,12
