source,target,action,count
registration,save survey,survey,2822
save survey,Step 2: Wikipedia,view,245
Step 2: Wikipedia,Step 3: Wikipedia,edit,14
Step 3: Wikipedia,Step 4: Wikipedia,view,95
Step 4: Wikipedia,Step 5: Wikipedia,edit,27
Step 2: Wikipedia,left Wikipedia,left,18
save survey,Step 2: Other,view,12
Step 2: Other,Step 3: Article,view,6
Step 3: Article,Step 4: Article,view,607
Step 4: Article,Step 5: Special,view,227
save survey,Step 2: Special,view,331
Step 2: Special,Step 3: Article,edit,41
Step 4: Article,Step 5: User talk,view,58
save survey,Step 2: Article,view,827
Step 2: Article,Step 3: Article,view,549
Step 3: Article,Step 4: Article talk,edit,6
Step 4: Article talk,Step 5: Article,view,10
save survey,Step 2: Article,edit,545
Step 2: Article,Step 3: Article,edit,400
Step 3: Article,Step 4: Article,edit,218
Step 4: Article,left Wikipedia,left,141
Step 2: Special,Step 3: Special,view,341
Step 3: Special,Step 4: Special,view,500
Step 4: Special,Step 5: Special,view,467
save survey,Step 2: User talk,view,149
Step 2: User talk,Step 3: User,view,17
Step 3: User,Step 4: User talk,view,38
Step 4: User talk,Step 5: Wikipedia,view,36
registration,abandon survey,survey,954
abandon survey,Step 2: User talk,view,87
Step 2: User talk,Step 3: User talk,view,14
Step 3: User talk,Step 4: Special,view,107
Step 2: Article,Step 3: User talk,view,187
Step 3: User talk,Step 4: User talk,edit,32
Step 4: User talk,Step 5: User talk,view,32
Step 3: Article,Step 4: Special,view,282
Step 3: Article,left Wikipedia,left,121
registration,skip survey,survey,449
skip survey,Step 2: Wikipedia,view,20
Step 2: Wikipedia,Step 3: User talk,view,49
Step 3: User talk,Step 4: Main page,view,54
Step 4: Main page,Step 5: Special,view,111
save survey,Step 2: Main page,view,612
Step 2: Main page,Step 3: Main page,view,62
Step 3: Main page,Step 4: Special,view,119
Step 4: Article,Step 5: Article,view,648
Step 2: Article,left Wikipedia,left,132
save survey,Step 2: Wikipedia,edit,20
Step 2: Wikipedia,Step 3: Main page,view,21
Step 3: Main page,Step 4: User talk,view,36
Step 2: Main page,Step 3: User talk,view,131
Step 4: Main page,Step 5: Article,view,25
Step 2: Main page,left Wikipedia,left,59
abandon survey,Step 2: User,view,39
Step 2: User,Step 3: User talk,view,11
Step 3: User talk,Step 4: User talk,view,28
Step 4: User talk,Step 5: User,view,14
skip survey,Step 2: Article,view,152
Step 2: User talk,Step 3: Article,view,21
Step 2: Main page,Step 3: User,edit,36
Step 3: User,Step 4: User,edit,62
Step 4: User,Step 5: User talk,view,22
skip survey,Step 2: Article,edit,94
Step 2: Article,Step 3: Special,view,332
Step 3: Special,Step 4: Article,view,378
abandon survey,Step 2: Special,view,575
Step 2: Special,Step 3: Article,view,282
abandon survey,Step 2: Article,view,119
Step 3: Special,left Wikipedia,left,45
skip survey,Step 2: Main page,view,136
Step 2: Main page,Step 3: Special,view,349
Step 4: Article,Step 5: Wikipedia,view,14
Step 2: Special,Step 3: User,view,40
Step 3: User,Step 4: Main page,view,13
Step 2: User,Step 3: Main page,view,7
Step 4: Special,Step 5: Main page,view,94
Step 4: Special,left Wikipedia,left,74
Step 4: Special,Step 5: Article,view,309
Step 3: Article,Step 4: User talk,view,62
Step 4: User talk,Step 5: Article,view,26
Step 3: User talk,Step 4: Wikipedia,view,76
Step 4: Wikipedia,Step 5: Wikipedia,view,101
Step 3: Special,Step 4: Main page,view,106
Step 2: User talk,Step 3: User,edit,24
Step 4: User,Step 5: User,edit,64
Step 3: User talk,Step 4: Article,view,75
Step 4: Article,Step 5: Article,edit,248
